番号,氏名,離職時の年齢,離職時の官職,出身府省庁（推定）,離職日,再就職日,再就職先の名称,再就職先の業務内容,再就職先における地位,求職の承認の有無,センター援助の有無
22,中井川　季央,54,内閣府経済社会システム成果連動型事業推進室参事官,内閣府,2024-03-31,2024-04-01,株式会社三井住友銀行,銀行業,法人戦略部上席推進役,無,無
23,田和　宏,64,内閣府事務次官,内閣府,2024-07-04,2024-11-01,公益社団法人経済同友会,経済・経営・社会問題に関する調査・研究、審議、立案、建議等,政策顧問,無,無
24,田和　宏,64,内閣府事務次官,内閣府,2024-07-04,2024-11-01,株式会社一柳アソシエイツ,政策規制に関するコンサルタント業務、経営人材紹介と育成等,特別顧問,無,無
25,田和　宏,64,内閣府事務次官,内閣府,2024-07-04,2024-11-01,長島・大野・常松法律事務所,弁護士業,顧問,無,無
26,田和　宏,64,内閣府事務次官,内閣府,2024-07-04,2024-11-27,東京フィナンシャルリサーチ株式会社,経済・金融動向に関する分析レポートの提供,編集委員,無,無
27,田和　宏,64,内閣府事務次官,内閣府,2024-07-04,2025-01-01,株式会社日本総合研究所,調査・コンサルティング業,顧問,無,無
28,大塚　幸寛,61,内閣府審議官,内閣府,2024-07-05,2024-10-01,株式会社日本経済研究所,調査・コンサルティング業,上席研究主幹,無,無
29,鹿内　浩胤,60,宮内庁書陵部編修課長,宮内庁,2023-03-31,2024-04-01,シダックス大新東ヒューマンサービス株式会社,放課後児童クラブの運営、学校給食の運営、公共施設の運営管理等様々な分野で自治体のサービスをサポート,専門契約社員,無,無
30,鹿内　浩胤,60,宮内庁書陵部編修課長,宮内庁,2023-03-31,2024-08-16,株式会社あすた,未就学児及び就学児の障害児に対する療育・書類作成・保護者支援その他これに付随する業務,児童指導員,無,無
31,池田　憲治,62,宮内庁次長,宮内庁,2023-12-19,2024-04-01,地方公務員共済組合連合会,地方公務員共済組合等の長期給付に係る業務の適正かつ円滑な運営を図るための事業,理事長,無,無
32,小林　渉,59,公正取引委員会事務総長,公正取引委員会,2023-07-05,2024-04-01,学校法人同志社,教育・研究,同志社大学司法研究科特別客員教授,無,無
33,田辺　治,59,公正取引委員会事務総局審査局長,公正取引委員会,2024-01-12,2025-01-01,フレッシュフィールズブルックハウスデリンガー法律事務所,弁護士業,シニアコンサルタント,無,無
34,筒井　秀樹,60,公正取引委員会事務総局北海道事務所長,公正取引委員会,2024-03-31,2024-07-01,北海道建設業信用保証株式会社,公共工事前払金保証事業等,総務企画部参事,無,無
35,扇澤　昭宏,56,警察庁長官官房付,警察庁,2022-08-26,2024-07-01,一般社団法人全日本指定自動車教習所協会連合会,自動車教習所運営の合理化に関する調査研究等,専務理事,無,無
36,鬼塚　友章,50,警察庁長官官房付,警察庁,2022-08-30,2024-04-01,全国遊技機商業協同組合連合会,中古遊技機の適正流通、流通セキュリティの確保、リサイクルの推進,顧問（非常勤）,無,無
37,鬼塚　友章,50,警察庁長官官房付,警察庁,2022-08-30,2024-06-26,株式会社HESTA大倉,建設業等,取締役社長,無,無
38,堀　誠司,57,警察庁長官官房政策立案総括審議官 兼 公文書監理官,警察庁,2023-03-27,2024-08-01,日本証券業協会,金融商品取引業に関する自主規制業務等,特別参与,無,無
39,黑岩　操,60,警察大学校刑事教養部長,警察庁,2023-03-31,2024-06-01,三井住友信託銀行株式会社,金融業,総務部審議役,無,無
40,田中　信幸,60,皇宮警察本部警務課付,警察庁,2023-03-31,2024-04-01,流山市役所,地方公務,会計年度任用職員,無,無
41,松本　裕之,58,皇宮警察本部長,警察庁,2023-04-14,2024-06-25,表示灯株式会社,広告業,副社長執行役員,無,無
42,今林　寛幸,58,中部管区警察局長,警察庁,2023-08-01,2024-04-01,株式会社サイバージムジャパン,サイバーセキュリティ対策事業,顧問,無,無
43,今林　寛幸,58,中部管区警察局長,警察庁,2023-08-01,2024-12-01,株式会社サカイ引越センター,引越運送、引越付帯サービス業務,顧問,無,無
44,大塚　尚,58,警察庁長官官房付,警察庁,2023-08-07,2024-11-22,株式会社メディア工房,デジタルコンテンツ事業等,社外監査役,無,無
45,山本　仁,57,警察庁生活安全局長,警察庁,2023-08-07,2024-07-29,株式会社シー・エス・エム,建設業（機械器具設置工事業）,顧問,無,無
46,福田　守雄,59,警察庁長官官房付,警察庁,2023-08-25,2024-06-27,株式会社コロワイド,飲食店の経営等,社外取締役,無,無
47,山本　和毅,58,関東管区警察局長,警察庁,2023-09-08,2024-06-12,一般財団法人ITSサービス高度化機構,ETCシステム及びDSRC（狭域通信）システムに関するセキュリティを確保するための機能・役割を担う等の業務,監事,無,無
48,河原　淳平,59,警察庁サイバー警察局長,警察庁,2024-01-26,2024-05-01,リーテックス株式会社,リーテックスデジタル契約サービスの開発・販売・サポート等,顧問,無,無
49,河原　淳平,59,警察庁サイバー警察局長,警察庁,2024-01-26,2024-06-01,三井住友海上火災保険株式会社,保険事業,顧問,無,無
50,小島　裕史,59,警視総監,警察庁,2024-01-26,2024-04-02,内閣官房,国家公務,内閣危機管理監,無,無
51,福田　正信,58,関東管区警察局長,警察庁,2024-01-26,2024-05-01,弁護士法人岡野法律事務所,弁護士業,九段下オフィス弁護士,無,無
52,福田　正信,58,関東管区警察局長,警察庁,2024-01-26,2024-07-01,株式会社オオバ,建設コンサルタント,企画本部顧問,無,無
53,見垣　実男,60,関東管区警察局栃木県情報通信部長,警察庁,2024-03-01,2024-07-01,一般財団法人保安通信協会,保安電子通信技術に関する業務,調査役,無,無
54,恩地　俊之,60,関東管区警察局茨城県情報通信部長,警察庁,2024-03-15,2024-07-01,警察職員生活協同組合,警察職員の生活向上支援業務,審議役,無,無
55,朝倉　崇,60,中部管区警察局総務監察・広域調整部長,警察庁,2024-03-29,2024-07-01,トヨタ自動車株式会社,自動車の製造販売,嘱託（プロフェッショナル・パートナー）,無,無
56,岡部　正勝,58,警察庁長官官房付,警察庁,2024-03-29,2024-09-01,グローリー株式会社,通貨関連機器の開発・製造・販売等,顧問,無,無
57,岡本　安志,60,東京都警察情報通信部長,警察庁,2024-03-29,2024-07-01,一般社団法人UTMS協会,UTMS（新交通管理システム）に関する研究開発等,特別参与,無,無
58,岡本　安志,60,東京都警察情報通信部長,警察庁,2024-03-29,2024-09-04,一般社団法人UTMS協会,UTMS（新交通管理システム）に関する研究開発等,専務理事,無,無
59,奥野　省吾,58,警察庁長官官房付,警察庁,2024-03-29,2024-08-01,アクサ生命保険株式会社,保険事業,MCVP推進本部顧問,無,無
60,金澤　正和,60,警察庁刑事局犯罪鑑識官,警察庁,2024-03-29,2024-07-01,公益財団法人警察協会,警察活動援助者等に対する救済援護事業等,参与,無,無
61,島﨑　俊隆,60,警察庁長官官房技術総括審議官,警察庁,2024-03-29,2024-07-01,富士通株式会社,通信機器、情報処理機器等の製造・販売,シニアアドバイザー,無,無
62,鈴木　信弘,59,警察庁長官官房付,警察庁,2024-03-29,2024-06-12,一般財団法人道路交通情報通信システムセンター,道路交通情報の収集及び放送メディアへの提供等,常務理事,無,無
63,高橋　靖,60,警察庁長官官房付,警察庁,2024-03-29,2024-07-01,株式会社ソユー,アミューズメント施設の企画・運営管理等,特別顧問,無,無
64,高水　紀美彦,60,警察庁長官官房付,警察庁,2024-03-29,2024-07-01,一般社団法人日本自動車連盟,交通知識の向上と交通安全及び環境改善の推進,交通環境部担当部長,無,無
65,寺崎　信夫,60,警察庁長官官房付,警察庁,2024-03-29,2024-07-01,公益財団法人日本道路交通情報センター,道路交通情報の収集、提供及び分析事業等,業務部長,無,無
66,乗松　直樹,60,関東管区警察局情報通信部長,警察庁,2024-03-29,2024-08-22,自営,教育・インターネット事業,-,無,無
67,森藤　いさ雄,60,警察大学校附属警察情報通信学校長,警察庁,2024-03-29,2024-07-01,パナソニックコネクト株式会社,電子機械器具の製造、販売等,顧問,無,無
68,米田　茂雄,60,警察庁長官官房付,警察庁,2024-03-29,2024-07-01,イオンフィナンシャルサービス株式会社,総合金融事業,顧問,無,無
69,和田　敏一,60,関東管区警察局神奈川県情報通信部長,警察庁,2024-03-29,2024-07-01,自動車安全運転センター,安全運転研修業務等,調査役,無,無
70,金澤　武好,60,警察庁長官官房付,警察庁,2024-03-31,2024-07-01,一般財団法人警察大学校学友会,学術振興事業等,総務課長,無,無
71,菅　廣子,60,皇宮警察本部警務課付,警察庁,2024-03-31,2024-05-01,株式会社KSC,レセプト内容点検等,パート社員,無,無
72,角園　和彦,60,皇宮警察本部警務課付,警察庁,2024-03-31,2024-07-01,宮崎綜合警備株式会社,警備業,教育訓練部参与,無,無
73,関口　悟史,60,警察庁長官官房付,警察庁,2024-03-31,2024-07-01,自動車安全運転センター,安全運転研修業務等,調査役,無,無
74,山口　孝幸,60,皇宮警察本部護衛部長,警察庁,2024-03-31,2024-07-01,公益財団法人日本防災通信協会,非常通報装置の普及,総務部長,無,無
75,加藤　伸宏,57,警察庁長官官房付,警察庁,2024-04-05,2024-06-19,公益財団法人日本道路交通情報センター,道路交通情報の収集、提供及び分析業務等,業務執行理事,無,無
76,近藤　知尚,57,警察大学校長,警察庁,2024-04-05,2024-08-01,日本アイ・ビー・エム株式会社,情報システムに関わる製品、サービスの提供,特別顧問,無,無
77,田中　俊恵,58,警察大学校長,警察庁,2024-08-05,2024-12-16,ジブラルタ生命保険株式会社,保険事業,顧問,無,無
78,田中　俊恵,58,警察大学校長,警察庁,2024-08-05,2025-03-26,株式会社イトーキ,ワークプレイス事業等,社外取締役,無,無
79,下田　隆文,59,皇宮警察本部長,警察庁,2024-08-08,2024-12-01,セントラル警備保障株式会社,警備業,顧問,無,無
80,根本　純史,58,警察庁長官官房付,警察庁,2024-08-26,2024-12-01,三井住友海上火災保険株式会社,保険事業,顧問,無,無
81,向山　喜浩,57,警察庁長官官房付,警察庁,2024-08-26,2025-03-01,株式会社KADOKAWA,出版、アニメ・実写映像、Webサービス、教育等,顧問,無,無
82,渡邊　国佳,57,警察庁刑事局長,警察庁,2024-08-27,2024-12-01,明治安田生命保険相互会社,保険事業,顧問,無,無
83,馬塲　進司,60,皇宮警察本部教養厚生課課長補佐（皇宮警察本部警務課付）,警察庁,2024-08-31,2024-12-01,皇宮警察桐栄会,互助会に対する支援事業,事務局長,無,無
84,山岸　一生,57,警察庁長官官房付,警察庁,2024-09-02,2024-12-01,日本原子力防護システム株式会社,原子力発電所その他原子力関連施設の防護等,顧問,無,無
85,山岸　一生,57,警察庁長官官房付,警察庁,2024-09-02,2025-01-01,日本ハーデス株式会社,宝くじ販売業務全般の統括・指導,顧問,無,無
86,幡谷　賢治,61,警察大学校教授（警察庁長官官房付）,警察庁,2024-09-30,2025-01-01,茨城ヤナセ株式会社,自動車販売・修理業,法務部部長,無,無
87,飯利　雄彦,58,警察庁長官官房政策立案総括審議官 兼 公文書監理官,警察庁,2024-11-05,2025-03-01,第一生命保険株式会社,保険事業,顧問,無,無
88,棚瀬　誠,47,警察庁サイバー警察局サイバー捜査課長,警察庁,2024-12-16,2025-02-01,株式会社サイバーエージェント・キャピタル,ベンチャーキャピタル事業,顧問,無,無
89,棚瀬　誠,47,警察庁サイバー警察局サイバー捜査課長,警察庁,2024-12-16,2025-03-01,株式会社トランジットホールディングス,クリエイティブ事業等を含むグループ全体の経営管理等,特別顧問,無,無
90,松本　秀一,60,個人情報保護委員会事務局監視・監督研究官（個人情報保護委員会事務局政策立案参事官）,個人情報保護委員会,2023-03-31,2024-06-14,一般財団法人日本情報経済社会推進協会,個人情報の保護、情報セキュリティに関する認証制度の運営・普及等,常務理事,無,無
91,松元　照仁,57,個人情報保護委員会事務局長,個人情報保護委員会,2024-07-05,2024-11-01,株式会社三菱UFJトラスト投資工学研究所,金融分野の研究及びソリューションの提供,業務顧問,無,無
92,合田　健彦,60,金融庁総合政策局リスク分析総括課専門検査官 兼 監督局総務課課付 兼 監督局銀行第一課課付,金融庁,2023-03-31,2024-12-01,あかつき証券株式会社,証券業,コンプライアンス部部長,無,無
93,百瀬　卓,60,金融庁総合政策局リスク分析総括課専門検査官 兼 総合政策局リスク分析総括課リスク管理検査室室付 兼 監督局総務課課付 兼 監督局銀行第一課課付 兼 監督局銀行第二課課付,金融庁,2023-03-31,2024-04-01,みずほ電子債権記録株式会社,電子記録債権法に基づく電子債権記録業、及び附帯する業務,社外監査役,無,無
94,百瀬　卓,60,金融庁総合政策局リスク分析総括課専門検査官 兼 総合政策局リスク分析総括課リスク管理検査室室付 兼 監督局総務課課付 兼 監督局銀行第一課課付 兼 監督局銀行第二課課付,金融庁,2023-03-31,2024-04-01,みずほファクター株式会社,国内ファクタリング業務、国際ファクタリング業務、代金回収業務,顧問,無,無
95,天谷　知子,60,金融庁金融国際審議官 兼 総合政策局総務課IAIS年次総会準備室長,金融庁,2023-07-04,2024-06-20,東日本旅客鉄道株式会社,旅客鉄道事業,監査等委員である社外取締役,無,無
96,天谷　知子,60,金融庁金融国際審議官 兼 総合政策局総務課IAIS年次総会準備室長,金融庁,2023-07-04,2024-06-26,川崎重工業株式会社,輸送用機器その他機械製造・販売他,監査等委員である社外取締役,無,無
97,中島　淳一,60,金融庁長官,金融庁,2023-07-04,2024-11-11,株式会社三菱UFJフィナンシャル・グループ,グループ会社の経営管理,リスク委員会外部専門家,無,無
98,椎名　康,53,金融庁監督局証券課長 兼 監督局銀行第一課 兼 総合政策局国際政策管理官,金融庁,2024-03-31,2024-08-01,金融安定理事会,グローバルな金融システムを監視し、助言を行う国際機関,事務局員,無,無
99,五十嵐　俊樹,61,証券取引等監視委員会事務局証券検査官（証券取引等監視委員会事務局統括検査官）,金融庁,2024-06-30,2024-10-01,公益社団法人日本証券アナリスト協会,金融・投資のプロフェッショナル育成等,規律・企業情報開示部部長,無,無
100,尾﨑　伸也,46,公認会計士・監査審査会事務局公認会計士監査検査官,金融庁,2024-06-30,2024-07-01,有限責任監査法人トーマツ,財務書類の監査証明等,監査・保証事業本部関西事業部シニアマネジャー,無,無
101,西岡　暢亮,46,公認会計士・監査審査会事務局公認会計士監査検査官,金融庁,2024-06-30,2024-07-01,EY新日本有限責任監査法人,財務書類の監査証明等,福岡事務所シニアマネージャー,無,無
102,栗田　照久,60,金融庁長官,金融庁,2024-07-05,2024-12-01,TMI総合法律事務所,弁護士業,顧問,無,無
103,栗田　照久,60,金融庁長官,金融庁,2024-07-05,2025-01-01,自営業,コンサルタント業務,-,無,無
104,田邊　亮二,58,金融庁総合政策局リスク分析総括課主任統括検査官,金融庁,2024-07-12,2024-10-01,株式会社肥後銀行,金融業,理事,無,無
105,萩藤　博之,55,証券取引等監視委員会事務局証券検査課長 兼 証券取引等監視委員会事務局証券検査課国際証券検査室長,金融庁,2024-07-12,2024-10-01,日本証券業協会,金融商品取引業に関する自主規制業務等,監査本部監査1部長,無,無
106,町井　智,60,金融庁監督局銀行第二課地域銀行モニタリング室金融証券検査官（金融庁監督局銀行第二課地域銀行モニタリング室主任統括検査官）,金融庁,2024-07-31,2024-10-01,全国信用協同組合連合会,金融業,嘱託エキスパート職（監査士）,無,無
107,増田　泰伸,59,金融庁総合政策局リスク分析総括課専門検査官 兼 監督局銀行第二課課付 兼 監督局総務課課付 兼 監督局銀行第一課課付,金融庁,2024-12-31,2025-02-03,日本住宅ローン株式会社,独立行政法人住宅金融支援機構の業務受託、住宅ローン等の貸付け・管理回収業務,契約社員,無,無
108,伊藤　明子,60,消費者庁長官,消費者庁,2022-07-01,2024-05-01,株式会社WECARS,国産車、外国車の中古車・新車販売及び車両買取業務等,取締役,無,無
109,里平　倫行,60,こども家庭庁成育局参事官,こども家庭庁,2024-03-31,2024-07-01,社会福祉法人こどもの国協会,施設の運営,副園長 兼 常勤理事,無,無
110,角田　隆,58,復興庁事務次官,復興庁,2024-07-05,2024-11-01,三井住友信託銀行株式会社,金融業,顧問,無,無
111,佐々木　祐二,58,総務省総務審議官,総務省,2022-06-28,2024-06-13,エヌ・ティ・ティ・コミュニケーションズ株式会社,電気通信事業等,常務執行役員,無,無
