番号,氏名,離職時の年齢,離職時の官職,出身府省庁（推定）,離職日,再就職日,再就職先の名称,再就職先の業務内容,再就職先における地位,求職の承認の有無,センター援助の有無
112,吉開　正治郎,59,総務省政策統括官（統計制度担当）、（恩給担当）,総務省,2022-08-19,2024-04-01,総務省,国家公務,行政不服審査会委員,無,無
113,門田　茂,60,信越総合通信局総務部長,総務省,2023-03-31,2024-07-01,一般財団法人日本データ通信協会,情報セキュリティ対策の推進と情報通信分野における人材育成に関する業務,迷惑メール相談センター所長,無,無
114,佐々木　淳,62,総務省行政評価局調査官,総務省,2023-03-31,2025-01-01,公益財団法人日本相撲協会,本場所及び巡業の開催並びにこれを担う人材の育成、相撲道の指導及び普及等,参与,無,無
115,日高　良一,60,東北総合通信局無線通信部長,総務省,2023-03-31,2024-04-01,一般社団法人全国陸上無線協会,無線局関連事業,企画調査部担当部長,無,無
116,島田　淳一,54,総務省総合通信基盤局電波部電波環境課電波利用環境専門官（総務省情報流通行政局総務課調査官）,総務省,2023-06-30,2024-11-01,国立大学法人北陸先端科学技術大学院大学,教育・研究,教授,無,無
117,生沼　裕,56,総務省大臣官房付,総務省,2023-07-07,2024-04-01,第一生命保険株式会社,保険業,公法人部顧問,無,無
118,大村　慎一,59,総務省大臣官房地域力創造審議官,総務省,2023-07-07,2024-08-01,学校法人創志学園,教育・研究,理事長補佐,無,無
119,大村　慎一,59,総務省大臣官房地域力創造審議官,総務省,2023-07-07,2024-08-01,自営業,コンサルティング業務（株式会社住宅・都市政策推進機構との業務委託契約）,-,無,無
120,大村　慎一,59,総務省大臣官房地域力創造審議官,総務省,2023-07-07,2024-08-01,富士宮通運株式会社,製造業・倉庫通運業,顧問,無,無
121,大村　慎一,59,総務省大臣官房地域力創造審議官,総務省,2023-07-07,2024-08-01,三井住友信託銀行株式会社,金融業,アドバイザー,無,無
122,大村　慎一,59,総務省大臣官房地域力創造審議官,総務省,2023-07-07,2024-08-20,株式会社地創ラボ,コンサルティング業務,代表取締役,無,無
123,大村　慎一,59,総務省大臣官房地域力創造審議官,総務省,2023-07-07,2024-11-01,公益財団法人住宅リフォーム・紛争処理支援センター,住宅紛争処理支援、住宅リフォーム、取得契約等に関する相談、助言等,顧問,無,無
124,大村　慎一,59,総務省大臣官房地域力創造審議官,総務省,2023-07-07,2025-01-01,自営業,コンサルティング業務（一般財団法人静岡経済研究所との業務委託契約）,-,無,無
125,清水　正博,59,総務省行政評価局長,総務省,2023-07-07,2024-04-01,一般財団法人沿岸技術研究センター,沿岸の開発・保全に関する調査研究等,審議役,無,無
126,清水　正博,59,総務省行政評価局長,総務省,2023-07-07,2024-06-26,一般財団法人沿岸技術研究センター,沿岸の開発・保全に関する調査研究等,業務執行理事,無,無
127,滝川　伸輔,58,総務省自治大学校長,総務省,2023-07-07,2024-07-01,株式会社JAPANDX,ソフトウエア開発・提供,特別顧問,無,無
128,馬場　竹次郎,58,総務省大臣官房付,総務省,2023-07-07,2024-09-20,東光コンピュータ・サービス株式会社,コンピュータソフトウェアのシステム設計開発等,社外取締役,無,無
129,山下　哲夫,62,総務事務次官,総務省,2023-07-07,2024-10-01,富士通株式会社,通信機器・装置・システムの製造及び販売等,シニアアドバイザー,無,無
130,木村　敬,49,総務省大臣官房付,総務省,2024-01-09,2024-04-16,熊本県,地方公務,知事,無,無
131,乾　隆朗,60,総務省大臣官房付 併任 大臣官房参事官,総務省,2024-03-31,2024-07-01,一般財団法人地域総合整備財団,地域開発の動向等に関する調査及び研究等,総務企画部長,無,無
132,嶋田　幸広,60,総務省大臣官房付,総務省,2024-03-31,2024-07-01,株式会社リコー,デジタルサービス等,公共事業部第一営業部第一担当室顧問,無,無
133,髙橋　巧,65,神奈川行政評価事務所評価監視官（関東管区行政評価局地域総括評価官）,総務省,2024-03-31,2024-04-01,総務省,国家公務,行政管理局行政制度アドバイザー（非常勤職員）,無,無
134,髙橋　克尚,60,総務省大臣官房付,総務省,2024-03-31,2024-08-01,一般財団法人行政書士試験研究センター,行政書士の試験実施及び行政書士業務、試験制度の調査研究,事務局長,無,無
135,廣瀬　広志,59,総務省自治税務局固定資産税課資産評価室長,総務省,2024-03-31,2024-07-01,一般財団法人資産評価システム研究センター,資産の評価の方法に関する調査研究、研究会・講習会の開催、情報・資料等の調査収集等,調査研究部長,無,無
136,藤井　啓造,56,総務省国際戦略局付,総務省,2024-03-31,2024-04-01,国立大学法人鳥取大学,教育・研究,鳥取大学教授,無,無
137,古澤　良章,65,九州管区行政評価局地域総括評価官,総務省,2024-03-31,2024-04-01,総務省,国家公務,九州管区行政評価局評価監視調査官,無,無
138,松田　綱児,65,東京行政評価事務所次長,総務省,2024-03-31,2024-06-26,一般財団法人行政管理研究センター,行政管理に関する理論と諸技術に関する調査、研究、開発、知識の普及、啓蒙等,理事,無,無
139,松田　綱児,65,東京行政評価事務所次長,総務省,2024-03-31,2024-06-27,一般財団法人行政管理研究センター,行政管理に関する理論と諸技術に関する調査、研究、開発、知識の普及、啓蒙等,常務理事,無,無
140,渡辺　道治,59,総務省大臣官房付,総務省,2024-04-15,2024-07-01,一般財団法人日本消防設備安全センター,消防防災設備等の品質管理、調査研究等に関する業務,事務局長 兼 総務部長事務取扱,無,無
141,井上　卓,59,総務省統計高度利用特別研究官（統計局付）（総務省統計局長）,総務省,2024-05-10,2024-06-13,株式会社情報通信総合研究所,情報通信に関する調査研究、コンサルティング,監査役,無,無
142,水谷　準,51,総務省情報流通行政局付,総務省,2024-06-30,2024-07-01,桑名市,地方自治,副市長,無,無
143,岡　裕二,59,総務省大臣官房付 併任 大臣官房参事官,総務省,2024-07-05,2024-10-01,全国都道府県議会議長会,各都道府県議会間の連携を保ち、地方自治の発展を図る,事務局総務部長,無,無
144,小笠原　陽一,61,総務省情報流通行政局長,総務省,2024-07-05,2024-10-01,三井住友信託銀行株式会社,金融業,顧問,無,無
145,小笠原　陽一,61,総務省情報流通行政局長,総務省,2024-07-05,2025-02-01,国立大学法人東京科学大学,教育・研究,東京科学大学総合研究院特任教授,無,無
146,川窪　俊広,58,総務省大臣官房付,総務省,2024-07-05,2024-11-01,明治安田生命保険相互会社,生命保険業,公法人第一部顧問,無,無
147,北林　大昌,57,東海総合通信局長,総務省,2024-07-05,2024-10-07,一般社団法人電気通信事業者協会,電気通信事業者に共通又は相互に関係がある事項の協議等,専務理事,無,無
148,佐藤　啓太郎,59,総務省大臣官房付,総務省,2024-07-05,2024-11-01,損害保険ジャパン株式会社,損害保険業,顧問,無,無
149,塩崎　充博,58,九州総合通信局長,総務省,2024-07-05,2024-10-01,株式会社KDDI総合研究所,情報及び通信に関する調査研究、研究開発等,常勤顧問,無,無
150,鈴木　一広,56,総務省大臣官房付,総務省,2024-07-05,2024-10-01,ドコモ・テクノロジ株式会社,移動通信に関わる技術開発業務,業務改善推進室長,無,無
151,鈴木　信也,59,総務省大臣官房付,総務省,2024-07-05,2024-11-01,三井住友海上火災保険株式会社,損害保険業等,経営顧問,無,無
152,鈴木　康幸,62,消防庁消防大学校消防研究センター所長,総務省,2024-07-05,2024-11-01,一般財団法人日本消防設備安全センター,消防防災設備等の品質管理、資格講習、調査研究等に関する業務,専務理事,無,無
153,田原　康生,60,総務省国際戦略局長,総務省,2024-07-05,2024-11-01,KDDI株式会社,通信事業,顧問コア技術統括本部副統括本部長,無,無
154,内藤　尚志,62,総務事務次官,総務省,2024-07-05,2024-10-01,地方公共団体金融機構,金融業,理事長,無,無
155,中沢　淳一,56,東北総合通信局長,総務省,2024-07-05,2024-10-01,一般社団法人電波産業会,電波の利用に関する調査、研究及び開発等,参与研究開発本部長補佐兼務同開発センター長兼務,無,無
156,中平　真,58,総務省大臣官房付,総務省,2024-07-05,2024-11-01,富国生命保険相互会社,保険商品の販売及び保全サービス等,法人営業部顧問,無,無
157,藤井　雅文,57,総務省大臣官房付,総務省,2024-07-05,2024-11-01,三井住友信託銀行株式会社,金融業,本店法人業務第一部法人担当アドバイザー,無,無
158,宮地　俊明,57,総務省自治大学校長,総務省,2024-07-05,2024-11-01,みずほ信託銀行株式会社,金融業,信託ソリューション第一部特別業務アドバイザー,無,無
159,吉田　博史,60,総務省総務審議官,総務省,2024-07-05,2024-11-01,損害保険ジャパン株式会社,損害保険業,顧問,無,無
160,日下　隆,60,関東総合通信局総務部長,総務省,2024-07-16,2024-12-01,公益財団法人日本無線協会,無線従事者国家試験事務,審査部担当部長,無,無
161,澤田　史朗,58,総務省大臣官房付,総務省,2024-07-19,2024-11-01,日本電気株式会社,電気通信機械器具等の製造、販売等,顧問,無,無
162,西川　仁,59,総務省大臣官房付,総務省,2024-08-01,2024-10-01,一般財団法人地方財務協会,地方行政制度及び地方税財政制度に関する調査・研究等,事業部長,無,無
163,荒井　崇,56,総務省大臣官房付,総務省,2024-08-05,2024-12-02,株式会社みずほ銀行,金融業,顧問,無,無
164,吉武　久,59,総務省情報流通行政局付,総務省,2024-08-20,2024-12-01,株式会社ドコモCS,情報通信業,特別参与,無,無
165,古本　顕光,61,総務省大臣官房秘書課課長補佐（総務省消防庁国民保護・防災部防災課応急対策室長）,総務省,2024-10-11,2025-01-01,公益財団法人健康・体力づくり事業財団,国民の健康・体力づくりをサポートするための調査研究、研修会の実施、書籍の発行等,事業部長,無,無
166,脇　香一,63,鹿児島区検察庁副検事,検察,2022-04-24,2024-04-01,鹿児島地方裁判所、鹿児島簡易裁判所,国家公務,民事調停委員,無,無
167,林　眞琴,64,検事総長,検察,2022-06-24,2024-06-18,株式会社SBI新生銀行,金融業,社外取締役,無,無
168,佐々木　聖子,60,出入国在留管理庁長官,法務省,2022-08-02,2024-06-27,株式会社上組,国内物流事業,外部監査役,無,無
169,土肥　直充,63,富山区検察庁副検事,検察,2022-08-25,2024-04-01,富山地方裁判所、富山簡易裁判所、富山家庭裁判所,国家公務,民事調停委員、家事調停委員,無,無
170,多田　一郎,63,東京区検察庁副検事,検察,2022-09-04,2024-04-01,独立行政法人自動車事故対策機構,自動車事故の発生防止及びその被害者への援護に関する業務,契約社員,無,無
171,藤田　澄和,63,京都区検察庁副検事,検察,2022-09-12,2024-05-01,阪神公証センター,公証業務,事務職員（書記）,無,無
